Country/Region,Confirmed,Deaths,Recoveries,Mortality Rate (%),Recovery Rate (%)
US,103802702,1123836,6298082,1.0826654589395948,6.067358439282245
India,44690738,530779,30974748,1.1876711456409603,69.30909934850483
France,39866718,166176,415111,0.41682889471864726,1.0412469870231102
Germany,38249060,168935,3659260,0.44167098485557554,9.566927919274356
Brazil,37076053,699276,17771228,1.8860583676477103,47.93182273204756
Japan,33320438,72997,852451,0.21907575164528148,2.558342720464839
"Korea, South",30615522,34093,180719,0.11135854551165254,0.590285542085482
Italy,25603510,188322,4144608,0.7355319641720999,16.187655520668844
United Kingdom,24658705,220721,24693,0.8951037777531302,0.10013907867424506
Russia,22075858,388478,5609682,1.7597413427826905,25.410935330350465
Turkey,17042722,101492,5478185,0.5955151999780316,32.14383829062047
Spain,13770429,119479,150376,0.8676490761471556,1.0920211708727448
Vietnam,11526994,43186,54332,0.3746510148265888,0.47134578190983706
Australia,11399460,19574,24203,0.1717098880122392,0.2123170746684492
Argentina,10044957,130472,4615834,1.2988806223859395,45.95175469641134
Taiwan*,9970937,17672,12957,0.1772350983663822,0.12994766690432405
Netherlands,8712835,23705,28771,0.2720698831092291,0.3302139889025788
Iran,7572311,144933,3444798,1.9139863642684514,45.492030108113624
Mexico,7483444,333188,2270427,4.45233504787368,30.33933306643305
Indonesia,6738225,160941,2907920,2.388477677726701,43.15557880599119
Poland,6444960,119010,2653981,1.8465591718179786,41.179169459546685
Colombia,6359093,142339,4615354,2.2383538029715875,72.57880958809692
Austria,5961143,21970,644388,0.3685534804315213,10.809806105976657
Ukraine,5711929,119283,2258433,2.0883137728077505,39.53888432436748
Portugal,5570473,26266,912620,0.47152189769163233,16.383168897865584
Greece,5548487,34779,93764,0.6268195275576928,1.6899021300761812
Chile,5192286,64273,1575377,1.2378555418557453,30.340720830863322
Malaysia,5044718,36967,962731,0.7327862528688422,19.08394086646667
China,4903524,101056,99228,2.060885191955826,2.0236058801792343
Israel,4803824,12329,854888,0.2566497024037517,17.79598919527443
Belgium,4739365,33814,31130,0.7134711084712826,0.6568390491131196
Thailand,4728182,33918,26873,0.7173581727606932,0.5683579862196506
Czechia,4618256,42491,1641321,0.920065929649634,35.5398444780887
Canada,4617095,51720,1405971,1.1201848781539043,30.4514202111934
Peru,4487553,219539,2086086,4.8921762038242225,46.48604707287022
Switzerland,4413911,14210,317600,0.3219367132685729,7.195432803244108
Philippines,4077452,66188,1528422,1.6232686491465749,37.484733112738056
South Africa,4067067,102595,2258603,2.522579539505988,55.533951124975324
Denmark,3451036,8345,307374,0.24181144444740652,8.906716707678505
Romania,3346046,67736,1048072,2.024359497747491,31.322701481091414
Sweden,2699339,23777,0,0.880845273602167,0.0
Slovakia,2667551,21035,255300,0.7885509967756943,9.57057615768171
Serbia,2500142,17881,15564,0.7151993766754048,0.6225246406004139
Iraq,2465545,25375,1494760,1.029184216876999,60.625946798780795
New Zealand,2236114,2550,2824,0.11403711975328627,0.1262905200718747
Singapore,2235294,1722,63357,0.07703684615983401,2.8343922544416977
Hungary,2196804,48762,749773,2.2196791338690205,34.130172741855894
Bangladesh,2037871,29445,1141157,1.4448902801011447,55.99750916520231
Georgia,1827537,16971,390827,0.9286268896334247,21.385449378042686
Jordan,1746997,14122,752624,0.8083585718807761,43.081012732134056
Ireland,1704502,8708,23364,0.5108823574275654,1.3707229442969266
Pakistan,1577411,30644,952616,1.9426769561008514,60.39110922898344
Kazakhstan,1498668,19071,555079,1.2725300066459015,37.03815654968278
Norway,1479506,5213,17998,0.3523473375572657,1.2164871247565066
Finland,1463644,8967,46000,0.6126489774835957,3.1428407454271667
Slovenia,1331707,7078,253972,0.5314982950453816,19.071162049910377
Lithuania,1307448,9596,269840,0.7339488836267293,20.638679320324783
Bulgaria,1297523,38228,398721,2.946229084185791,30.729397475035125
Morocco,1272490,16296,582692,1.280638747652241,45.79147969728643
Croatia,1269326,17987,354830,1.4170512539725808,27.954205617784556
Guatemala,1238247,20182,331374,1.6298848291172923,26.761542729358524
Lebanon,1232828,10841,537653,0.8793603000580779,43.61135535532937
Costa Rica,1209725,9245,334759,0.7642232738845605,27.6723222219926
Bolivia,1194277,22365,411830,1.872681128414932,34.483624820707426
Tunisia,1151126,29341,530545,2.548895603087759,46.08922046761171
Cuba,1112643,8530,373354,0.7666430292555654,33.55559689855596
Ecuador,1057121,36014,443880,3.4068001676250876,41.989516810279994
United Arab Emirates,1053213,2349,664130,0.22303180838064096,63.05752017872928
Uruguay,1034303,7617,374203,0.7364379683709706,36.1792434131971
Panama,1031731,8609,420113,0.8344229261309393,40.71923786335779
Mongolia,1007900,2136,164829,0.21192578628832226,16.353705724774283
Nepal,1001154,12020,661651,1.2006144908775274,66.08883348615697
Belarus,994037,7118,443417,0.7160699249625517,44.60769568939587
Latvia,976255,6269,135690,0.6421477994991063,13.899032527362214
Saudi Arabia,830127,9618,507374,1.1586178982252113,61.12004548701584
Azerbaijan,828825,10138,333694,1.2231773896781588,40.2610925104817
Paraguay,808401,19878,423964,2.458928180445101,52.44476441765906
Bahrain,710693,1553,267220,0.21851910740643288,37.59992007800837
West Bank and Gaza,703228,5708,312320,0.8116855415313383,44.412338530320184
Sri Lanka,672039,16830,284524,2.5043189457754687,42.337423869745656
Kuwait,663860,2570,388880,0.3871298165275811,58.57861597324737
Dominican Republic,660790,4384,324861,0.6634482967357254,49.16251759257858
Cyprus,650685,1330,39061,0.2043999784842128,6.003058315467546
Burma,633950,19490,225849,3.0743749507058915,35.62568025869548
Estonia,615433,2946,129183,0.478687363206068,20.990587115088076
Moldova,611140,12003,252421,1.9640344274634292,41.303302025722424
Venezuela,552162,5854,294607,1.0601961018686545,53.35517474943947
Egypt,515759,24812,232179,4.810774024302048,45.01695559360089
Libya,507187,6437,195639,1.2691571353366706,38.573346714328245
Ethiopia,500116,7572,264008,1.5140487406921594,52.78935287013413
Qatar,495090,688,224285,0.1389646326930457,45.30186430749964
Honduras,472250,11111,102384,2.352779248279513,21.680042350449973
Armenia,447308,8727,220438,1.951004676866946,49.281032308834185
Bosnia and Herzegovina,401729,16280,189710,4.052483141620346,47.22337695312014
Oman,399449,4628,281724,1.1585959659430867,70.52815253011022
North Macedonia,346852,9662,150440,2.7856261460219347,43.372965991258525
Zambia,343135,4057,189658,1.1823334839057513,55.27212321680971
Kenya,342937,5688,191188,1.65861368123008,55.75018152022092
Albania,334457,3598,130314,1.075773567304616,38.962856211710324
Botswana,329758,2801,96964,0.849410780026565,29.4045936717229
Luxembourg,317367,1220,72306,0.38441299820082114,22.783087088449648
Mauritius,296042,1044,1854,0.35265266414900587,0.6262624897818553
Montenegro,288808,2808,99152,0.9722722362261434,34.33145896235562
Brunei,279661,225,280,0.0804545503305788,0.10012121818916474
Kosovo,273312,3211,105688,1.174847792998478,38.66935955977052
Algeria,271496,6881,118409,2.534475646050034,43.61353390105195
Nigeria,266598,3155,165208,1.1834297331562877,61.96895700642916
Zimbabwe,264276,5671,82994,2.1458626587355645,31.404289454963752
Uzbekistan,251247,1637,126377,0.6515500682595216,50.299904078456656
Mozambique,233214,2242,100912,0.9613488041026695,43.27012958055691
Laos,218023,758,3804,0.3476697412658298,1.7447700471968555
Afghanistan,209451,7896,82586,3.7698554793245203,39.42974729172933
Iceland,209137,263,6993,0.1257548879442662,3.343741184008569
Kyrgyzstan,206708,2991,150852,1.4469686707819727,72.97830756429359
El Salvador,201785,4230,76670,2.0962906063384295,37.9958867111034
Trinidad and Tobago,189918,4355,32454,2.2930949146473742,17.088427637190787
Maldives,185738,311,75095,0.16744015764140885,40.43060655331704
Ghana,171229,1462,98633,0.8538273306507659,57.60297613137961
Namibia,171156,4090,96568,2.3896328495641406,56.42104279137161
Uganda,170544,3630,86826,2.128482972136223,50.91120180129468
Jamaica,154416,3514,47101,2.275670914931095,30.502668117293545
Cambodia,138719,3056,72803,2.203014727614818,52.482356418370955
Rwanda,133194,1468,44911,1.1021517485772632,33.71848581767948
Cameroon,124392,1965,35261,1.5796835809376808,28.346678242973827
Malta,117610,828,32438,0.7040217668565598,27.580988011223535
Barbados,106798,579,4251,0.5421449839884642,3.9804116181950975
Angola,105288,1933,39582,1.835916723653218,37.59402780943697
Congo (Kinshasa),95749,1464,30043,1.5289976918818995,31.376829000825072
Senegal,88926,1971,48812,2.2164496322785237,54.89058318152171
Malawi,88707,2686,39841,3.027945934368201,44.91302828412639
Cote d'Ivoire,88263,834,49642,0.9449033003636857,56.243272945628405
Suriname,82467,1404,21978,1.702499181490778,26.650660264105642
Eswatini,74267,1425,22127,1.9187526088303013,29.79385191269339
Guyana,73075,1298,22327,1.776257269928156,30.553540882654808
Belize,70757,688,13543,0.972341959099453,19.140155744307982
Fiji,68898,883,10848,1.2816046909924816,15.745014369067317
Madagascar,67889,1423,41177,2.0960685825391447,60.65341955250483
Sudan,63829,5017,30647,7.860063607451158,48.01422550878128
Mauritania,63668,997,22859,1.565935791920588,35.903436577244456
Cabo Verde,63244,413,33173,0.6530263740433875,52.452406552400234
Bhutan,62627,21,2418,0.033531863253868144,3.86095454037396
Syria,57467,3164,22019,5.505768528024779,38.315903040005566
Burundi,53631,38,773,0.07085454308142679,1.4413305737353397
Seychelles,50665,172,17874,0.3394848514753775,35.27879206552847
Gabon,48981,306,25228,0.6247320389538801,51.505685878197674
Andorra,47890,165,14380,0.34453956984756734,30.02714554186678
Papua New Guinea,46825,670,17384,1.430859583555793,37.12546716497597
Tanzania,42906,846,183,1.9717522024891625,0.4265137742973011
Togo,39396,290,14654,0.7361153416590517,37.19666971266118
Guinea,38267,467,24463,1.2203726448375884,63.927143491781436
Bahamas,37491,833,12702,2.2218665813128484,33.88013123149556
Lesotho,34790,723,6664,2.0781833860304686,19.154929577464788
Haiti,34202,860,12961,2.51447283784574,37.895444710835626
Mali,33062,743,13962,2.247292964732926,42.22975016635412
Saint Lucia,30004,409,5398,1.3631515797893614,17.99093454206106
Benin,27999,163,8136,0.5821636487017393,29.058180649308902
Somalia,27324,1361,7661,4.980969111403894,28.037622602839996
Congo (Brazzaville),25087,388,12421,1.5466177701598436,49.511699286483044
Solomon Islands,24575,153,20,0.6225839267548322,0.08138351983723296
Micronesia,23948,61,1,0.2547185568732253,0.0041757140471020545
San Marino,23616,122,5009,0.51659891598916,21.210196476964768
Timor-Leste,23419,138,10025,0.5892651266066016,42.80712242196507
Burkina Faso,22056,396,13385,1.7954298150163224,60.68643453028655
Liechtenstein,21432,89,3011,0.41526689063083244,14.04908547965659
Grenada,19680,238,161,1.2093495934959348,0.818089430894309
South Sudan,18368,138,10514,0.7513066202090593,57.24085365853659
Tajikistan,17786,125,14867,0.7027999550208028,83.58821545035421
Equatorial Guinea,17229,183,8709,1.062162632770329,50.548493818561724
Tonga,16810,13,0,0.07733491969066032,0.0
Samoa,16607,29,3,0.17462515806587584,0.018064671524056122
Monaco,16121,67,2759,0.41560697227219157,17.114322932820546
Dominica,15760,74,209,0.46954314720812185,1.3261421319796953
Djibouti,15690,189,11491,1.2045889101338432,73.23773103887827
Nicaragua,15655,245,4225,1.5649952091983392,26.988182689236666
Marshall Islands,15649,17,4,0.10863313949773148,0.025560738705348588
Central African Republic,15368,113,6859,0.7352941176470588,44.63170223841749
Gambia,12598,372,7310,2.95284965867598,58.025083346562944
Vanuatu,12014,14,3,0.1165307141668054,0.024970867321458298
Yemen,11945,2159,4251,18.07450816241105,35.588112180828794
Eritrea,10189,103,6475,1.0108941014819903,63.54892531161056
Saint Vincent and the Grenadines,9589,123,2233,1.2827197830847845,23.287099801856293
Niger,9508,315,5351,3.3129995793016405,56.27892301220025
Antigua and Barbuda,9106,146,1239,1.6033384581594552,13.60641335383264
Comoros,9008,161,3873,1.7873001776198933,42.995115452930726
Guinea-Bissau,8960,176,4027,1.9642857142857142,44.94419642857143
Liberia,8090,295,2715,3.646477132262052,33.55995055624227
Sierra Leone,7760,126,4287,1.6237113402061858,55.24484536082475
Chad,7679,194,4796,2.526370621174632,62.45604896470894
Saint Kitts and Nevis,6597,47,549,0.7124450507806579,8.321964529331515
Sao Tome and Principe,6281,77,2365,1.2259194395796849,37.65323992994746
Palau,5991,9,0,0.15022533800701052,0.0
Nauru,5247,1,0,0.01905850962454736,0.0
Kiribati,5014,18,0,0.35899481451934584,0.0
Tuvalu,2805,0,0,0.0,0.0
Summer Olympics 2020,865,0,0,0.0,0.0
Diamond Princess,712,13,699,1.8258426966292134,98.17415730337079
Winter Olympics 2022,535,0,0,0.0,0.0
Holy See,29,0,27,0.0,93.10344827586206
Antarctica,11,0,0,0.0,0.0
MS Zaandam,9,2,7,22.22222222222222,77.77777777777779
"Korea, North",1,6,0,600.0,0.0
